chr start stop block
1 1 1892606 1
1 1892607 3582735 2
1 3582736 4380810 3
1 4380811 5913892 4
1 5913893 7247334 5
1 7247335 9365198 6
1 9365199 10806983 7
1 10806984 11777840 8
1 11777841 12779465 9
1 12779466 14891510 10
1 14891511 16897729 11
1 16897730 18662898 12
1 18662899 20469148 13
1 20469149 21736587 14
1 21736588 23086882 15
1 23086883 23920589 16
1 23920590 25516844 17
1 25516845 27401866 18
1 27401867 30161880 19
1 30161881 32438684 20
1 32438685 34799757 21
1 34799758 37549182 22
1 37549183 38731846 23
1 38731847 40200566 24
1 40200567 41975326 25
1 41975327 43758456 26
1 43758457 44969182 27
1 44969183 46899500 28
1 46899501 48002575 29
1 48002576 48978187 30
1 48978188 49894176 31
1 49894177 51713725 32
1 51713726 54226261 33
1 54226262 56413116 34
1 56413117 57021727 35
1 57021728 58865398 36
1 58865399 59890408 37
1 59890409 61922364 38
1 61922365 63455088 39
1 63455089 65041703 40
1 65041704 66939403 41
1 66939404 68477894 42
1 68477895 69687615 43
1 69687616 71372469 44
1 71372470 71684404 45
1 71684405 74326906 46
1 74326907 76728134 47
1 76728135 79661197 48
1 79661198 81354190 49
1 81354191 83991747 50
1 83991748 84844494 51
1 84844495 86454750 52
1 86454751 88128630 53
1 88128631 90066302 54
1 90066303 91886316 55
1 91886317 93536458 56
1 93536459 94506190 57
1 94506191 96150892 58
1 96150893 97885248 59
1 97885249 99800603 60
1 99800604 100826404 61
1 100826405 102041015 62
1 102041016 102898744 63
1 102898745 103914210 64
1 103914211 106087841 65
1 106087842 108409664 66
1 108409665 110303930 67
1 110303931 111741736 68
1 111741737 113273305 69
1 113273306 114873844 70
1 114873845 115880592 71
1 115880593 118839066 72
1 118839067 144977493 73
1 144977494 148361252 74
1 148361253 151538880 75
1 151538881 153180828 76
1 153180829 154770402 77
1 154770403 156336132 78
1 156336133 158027411 79
1 158027412 159913047 80
1 159913048 162346720 81
1 162346721 165191701 82
1 165191702 166460516 83
1 166460517 169086323 84
1 169086324 170557775 85
1 170557776 173097906 86
1 173097907 175089767 87
1 175089768 177433380 88
1 177433381 178944308 89
1 178944309 178954469 90
1 178954470 181144120 91
1 181144121 182755355 92
1 182755356 184595512 93
1 184595513 186810022 94
1 186810023 188759944 95
1 188759945 189904129 96
1 189904130 191868929 97
1 191868930 194107441 98
1 194107442 196176200 99
1 196176201 197311513 100
1 197311514 199239883 101
1 199239884 200137648 102
1 200137649 201589974 103
1 201589975 203334733 104
1 203334734 204681067 105
1 204681068 206073264 106
1 206073265 208410363 107
1 208410364 210787749 108
1 210787750 212842329 109
1 212842330 214578265 110
1 214578266 216243633 111
1 216243634 218705512 112
1 218705513 219590570 113
1 219590571 221858230 114
1 221858231 222230219 115
1 222230220 224938519 116
1 224938520 226810859 117
1 226810860 229156247 118
1 229156248 230685254 119
1 230685255 232090251 120
1 232090252 233429283 121
1 233429284 234599433 122
1 234599434 235819435 123
1 235819436 237555627 124
1 237555628 238567806 125
1 238567807 239925313 126
1 239925314 240564090 127
1 240564091 241582219 128
1 241582220 242071601 129
1 242071602 244109498 130
1 244109499 245506745 131
1 245506746 247344517 132
1 247344518 249239465 133
1 249239466 999999999 134
2 1 1781021 1
2 1781022 3973778 2
2 3973779 5708336 3
2 5708337 6836253 4
2 6836254 8422146 5
2 8422147 10298468 6
2 10298469 12419149 7
2 12419150 14335307 8
2 14335308 16329734 9
2 16329735 18647422 10
2 18647423 19692403 11
2 19692404 21050489 12
2 21050490 23341382 13
2 23341383 24686917 14
2 24686918 26894984 15
2 26894985 28598776 16
2 28598777 29217558 17
2 29217559 30463710 18
2 30463711 31550449 19
2 31550450 33363776 20
2 33363777 35345027 21
2 35345028 36122005 22
2 36122006 38132711 23
2 38132712 39031336 24
2 39031337 40281482 25
2 40281483 43309589 26
2 43309590 44313802 27
2 44313803 46482633 28
2 46482634 47318771 29
2 47318772 48213000 30
2 48213001 50022256 31
2 50022257 50818927 32
2 50818928 52491132 33
2 52491133 53508451 34
2 53508452 54685225 35
2 54685226 56203344 36
2 56203345 57429099 37
2 57429100 58297314 38
2 58297315 60291999 39
2 60292000 62429043 40
2 62429044 64625912 41
2 64625913 65933443 42
2 65933444 67226165 43
2 67226166 68010175 44
2 68010176 69139563 45
2 69139564 70755197 46
2 70755198 73174847 47
2 73174848 75630085 48
2 75630086 76913660 49
2 76913661 78079263 50
2 78079264 80050402 51
2 80050403 81620840 52
2 81620841 85140679 53
2 85140680 88038506 54
2 88038507 89154525 55
2 89154526 95326451 56
2 95326452 98995200 57
2 98995201 101822328 58
2 101822329 102688764 59
2 102688765 103588214 60
2 103588215 105125033 61
2 105125034 106210057 62
2 106210058 107408266 63
2 107408267 108429176 64
2 108429177 110572431 65
2 110572432 113921855 66
2 113921856 116772469 67
2 116772470 118367465 68
2 118367466 121303782 69
2 121303783 123302905 70
2 123302906 124732249 71
2 124732250 125840920 72
2 125840921 127373763 73
2 127373764 128034346 74
2 128034347 129474440 75
2 129474441 130067169 76
2 130067170 130658084 77
2 130658085 133042783 78
2 133042784 135158577 79
2 135158578 137042793 80
2 137042794 138698116 81
2 138698117 140100270 82
2 140100271 141805350 83
2 141805351 142518601 84
2 142518602 144519483 85
2 144519484 146445569 86
2 146445570 147277161 87
2 147277162 150210291 88
2 150210292 151731461 89
2 151731462 152486781 90
2 152486782 154005055 91
2 154005056 155391134 92
2 155391135 157560634 93
2 157560635 158533217 94
2 158533218 159577081 95
2 159577082 161769732 96
2 161769733 163503550 97
2 163503551 164466637 98
2 164466638 165178839 99
2 165178840 167160269 100
2 167160270 167355969 101
2 167355970 169968235 102
2 169968236 171226244 103
2 171226245 173138904 104
2 173138905 175588928 105
2 175588929 177363635 106
2 177363636 178553182 107
2 178553183 181312738 108
2 181312739 182266030 109
2 182266031 184357607 110
2 184357608 185280172 111
2 185280173 189882064 112
2 189882065 191973356 113
2 191973357 195861163 114
2 195861164 196447455 115
2 196447456 198078109 116
2 198078110 199311124 117
2 199311125 201576283 118
2 201576284 202818636 119
2 202818637 205799240 120
2 205799241 206735703 121
2 206735704 208645398 122
2 208645399 209941528 123
2 209941529 212379517 124
2 212379518 214014281 125
2 214014282 215573794 126
2 215573795 217715660 127
2 217715661 218395479 128
2 218395480 220454550 129
2 220454551 222521175 130
2 222521176 224859418 131
2 224859419 225840003 132
2 225840004 228119841 133
2 228119842 229370786 134
2 229370787 231843388 135
2 231843389 233550002 136
2 233550003 235150986 137
2 235150987 236043549 138
2 236043550 237449031 139
2 237449032 238760980 140
2 238760981 239952642 141
2 239952643 241560083 142
2 241560084 242149920 143
2 242149921 243188919 144
2 243188920 999999999 145
3 1 1441778 1
3 1441779 2992119 2
3 2992120 4431646 3
3 4431647 6083182 4
3 6083183 7083386 5
3 7083387 8648560 6
3 8648561 9543182 7
3 9543183 11019664 8
3 11019665 13070798 9
3 13070799 14816899 10
3 14816900 16282441 11
3 16282442 17891117 12
3 17891118 19125143 13
3 19125144 20091347 14
3 20091348 21643706 15
3 21643707 22204243 16
3 22204244 23804864 17
3 23804865 25461557 18
3 25461558 26877768 19
3 26877769 27840909 20
3 27840910 29142259 21
3 29142260 30717954 22
3 30717955 32351714 23
3 32351715 33255591 24
3 33255592 35283457 25
3 35283458 36486841 26
3 36486842 38356115 27
3 38356116 40221297 28
3 40221298 41064527 29
3 41064528 42540001 30
3 42540002 45165152 31
3 45165153 46657499 32
3 46657500 47727211 33
3 47727212 49316971 34
3 49316972 51832014 35
3 51832015 54081389 36
3 54081390 55348859 37
3 55348860 56433906 38
3 56433907 58157518 39
3 58157519 60272905 40
3 60272906 62355665 41
3 62355666 63669285 42
3 63669286 65273537 43
3 65273538 66270446 44
3 66270447 68286913 45
3 68286914 69276761 46
3 69276762 70449027 47
3 70449028 72529328 48
3 72529329 74321816 49
3 74321817 75704948 50
3 75704949 77508834 51
3 77508835 79024540 52
3 79024541 81427309 53
3 81427310 82643885 54
3 82643886 84367478 55
3 84367479 85582230 56
3 85582231 87409731 57
3 87409732 88298372 58
3 88298373 94255315 59
3 94255316 95311970 60
3 95311971 98215949 61
3 98215950 99373761 62
3 99373762 100592216 63
3 100592217 103084959 64
3 103084960 104581612 65
3 104581613 106982810 66
3 106982811 109522394 67
3 109522395 110513769 68
3 110513770 112815698 69
3 112815699 113947862 70
3 113947863 115447079 71
3 115447080 116800152 72
3 116800153 118530250 73
3 118530251 120523054 74
3 120523055 121974096 75
3 121974097 123517767 76
3 123517768 124936641 77
3 124936642 126214942 78
3 126214943 128194860 79
3 128194861 130244734 80
3 130244735 131836515 81
3 131836516 133252172 82
3 133252173 135456905 83
3 135456906 137371082 84
3 137371083 139954596 85
3 139954597 141339096 86
3 141339097 143164627 87
3 143164628 144410815 88
3 144410816 145664618 89
3 145664619 146726628 90
3 146726629 149043236 91
3 149043237 150252003 92
3 150252004 151348729 93
3 151348730 153256570 94
3 153256571 154714217 95
3 154714218 156008699 96
3 156008700 157312027 97
3 157312028 159477889 98
3 159477890 161524503 99
3 161524504 163253204 100
3 163253205 165055468 101
3 165055469 167117428 102
3 167117429 168580959 103
3 168580960 170964908 104
3 170964909 172295730 105
3 172295731 173477284 106
3 173477285 175116538 107
3 175116539 176320286 108
3 176320287 178107164 109
3 178107165 179374585 110
3 179374586 181511165 111
3 181511166 183769682 112
3 183769683 185068254 113
3 185068255 186890343 114
3 186890344 188856213 115
3 188856214 190226606 116
3 190226607 192343813 117
3 192343814 194059670 118
3 194059671 194786673 119
3 194786674 195971407 120
3 195971408 197075986 121
3 197075987 197946621 122
3 197946622 999999999 123
4 1 694714 1
4 694715 1478710 2
4 1478711 2842978 3
4 2842979 3846039 4
4 3846040 4684115 5
4 4684116 5502387 6
4 5502388 6773042 7
4 6773043 7539691 8
4 7539692 8152234 9
4 8152235 9326478 10
4 9326479 10699151 11
4 10699152 12323033 12
4 12323034 14272000 13
4 14272001 15147445 14
4 15147446 15927008 15
4 15927009 17383321 16
4 17383322 18841873 17
4 18841874 20544556 18
4 20544557 22319346 19
4 22319347 24135528 20
4 24135529 25609321 21
4 25609322 27343721 22
4 27343722 27965867 23
4 27965868 29762207 24
4 29762208 30454534 25
4 30454535 31782980 26
4 31782981 33172765 27
4 33172766 35151414 28
4 35151415 36020435 29
4 36020436 37255046 30
4 37255047 38907021 31
4 38907022 40202608 32
4 40202609 42213057 33
4 42213058 43965044 34
4 43965045 45189156 35
4 45189157 47411895 36
4 47411896 48123599 37
4 48123600 53877432 38
4 53877433 55429555 39
4 55429556 56547643 40
4 56547644 58935007 41
4 58935008 60741086 42
4 60741087 62371762 43
4 62371763 64341000 44
4 64341001 66600491 45
4 66600492 68059496 46
4 68059497 68854764 47
4 68854765 71049151 48
4 71049152 72140557 49
4 72140558 74592389 50
4 74592390 77130706 51
4 77130707 79093978 52
4 79093979 80990296 53
4 80990297 82125314 54
4 82125315 83372592 55
4 83372593 84799655 56
4 84799656 86930608 57
4 86930609 87534647 58
4 87534648 89238027 59
4 89238028 90231563 60
4 90231564 91560676 61
4 91560677 94233298 62
4 94233299 96182187 63
4 96182188 97540702 64
4 97540703 99424066 65
4 99424067 100678359 66
4 100678360 103221355 67
4 103221356 105305293 68
4 105305294 107501304 69
4 107501305 108815347 70
4 108815348 111256566 71
4 111256567 113870101 72
4 113870102 115666245 73
4 115666246 117276928 74
4 117276929 118479917 75
4 118479918 119933511 76
4 119933512 120392683 77
4 120392684 122657986 78
4 122657987 124286480 79
4 124286481 125210861 80
4 125210862 126480885 81
4 126480886 127275476 82
4 127275477 127830292 83
4 127830293 128996664 84
4 128996665 130591884 85
4 130591885 131283820 86
4 131283821 132954032 87
4 132954033 134628433 88
4 134628434 136566406 89
4 136566407 138541970 90
4 138541971 139556510 91
4 139556511 141084630 92
4 141084631 143443264 93
4 143443265 146178186 94
4 146178187 148521872 95
4 148521873 150683579 96
4 150683580 152782183 97
4 152782184 154477640 98
4 154477641 155056125 99
4 155056126 157485096 100
4 157485097 158743717 101
4 158743718 161058863 102
4 161058864 161826434 103
4 161826435 163243678 104
4 163243679 164478233 105
4 164478234 165823447 106
4 165823448 167018857 107
4 167018858 167852916 108
4 167852917 169676824 109
4 169676825 170776509 110
4 170776510 172558634 111
4 172558635 174264131 112
4 174264132 176570715 113
4 176570716 178991909 114
4 178991910 180122042 115
4 180122043 182066806 116
4 182066807 183371274 117
4 183371275 184929454 118
4 184929455 186909089 119
4 186909090 188472980 120
4 188472981 189693510 121
4 189693511 191043593 122
4 191043594 999999999 123
5 1 982251 1
5 982252 2132441 2
5 2132442 3361940 3
5 3361941 4632109 4
5 4632110 5973232 5
5 5973233 7143217 6
5 7143218 8446335 7
5 8446336 9718831 8
5 9718832 11173270 9
5 11173271 13464831 10
5 13464832 14757803 11
5 14757804 16963612 12
5 16963613 18051591 13
5 18051592 19917715 14
5 19917716 22152072 15
5 22152073 23494323 16
5 23494324 26184850 17
5 26184851 26857603 18
5 26857604 27984512 19
5 27984513 29714819 20
5 29714820 31390248 21
5 31390249 33500179 22
5 33500180 35048969 23
5 35048970 36433953 24
5 36433954 38802409 25
5 38802410 40287728 26
5 40287729 41888709 27
5 41888710 43983498 28
5 43983499 50163397 29
5 50163398 52134621 30
5 52134622 53703043 31
5 53703044 55417348 32
5 55417349 56621101 33
5 56621102 57340072 34
5 57340073 58524621 35
5 58524622 60935906 36
5 60935907 61672994 37
5 61672995 63218986 38
5 63218987 63968303 39
5 63968304 65911285 40
5 65911286 67850859 41
5 67850860 71240455 42
5 71240456 73759325 43
5 73759326 75798865 44
5 75798866 77623331 45
5 77623332 79393143 46
5 79393144 80481470 47
5 80481471 82025647 48
5 82025648 83972688 49
5 83972689 85767289 50
5 85767290 87389990 51
5 87389991 88891529 52
5 88891530 90422653 53
5 90422654 91840541 54
5 91840542 93809983 55
5 93809984 95963518 56
5 95963519 97315600 57
5 97315601 99260991 58
5 99260992 101578768 59
5 101578769 103320004 60
5 103320005 104851482 61
5 104851483 105893054 62
5 105893055 107264195 63
5 107264196 108633933 64
5 108633934 110821143 65
5 110821144 111981561 66
5 111981562 113396284 67
5 113396285 114830369 68
5 114830370 115831046 69
5 115831047 117346212 70
5 117346213 118608819 71
5 118608820 119669041 72
5 119669042 120452165 73
5 120452166 122556904 74
5 122556905 123798099 75
5 123798100 125785648 76
5 125785649 127344603 77
5 127344604 129519024 78
5 129519025 132139648 79
5 132139649 134777400 80
5 134777401 136376049 81
5 136376050 139265071 82
5 139265072 140645970 83
5 140645971 142981247 84
5 142981248 144943353 85
5 144943354 147181997 86
5 147181998 148662623 87
5 148662624 150561297 88
5 150561298 152867773 89
5 152867774 153773087 90
5 153773088 155373504 91
5 155373505 156628699 92
5 156628700 158825697 93
5 158825698 159973943 94
5 159973944 161482132 95
5 161482133 162743907 96
5 162743908 163771581 97
5 163771582 165642394 98
5 165642395 166847739 99
5 166847740 168525317 100
5 168525318 169505663 101
5 169505664 171074291 102
5 171074292 172678326 103
5 172678327 173642870 104
5 173642871 175450594 105
5 175450595 177251506 106
5 177251507 178413463 107
5 178413464 179401243 108
5 179401244 180559932 109
5 180559933 180885155 110
5 180885156 999999999 111
6 1 1452361 1
6 1452362 2458935 2
6 2458936 3573592 3
6 3573593 4617816 4
6 4617817 5791471 5
6 5791472 6785206 6
6 6785207 7808935 7
6 7808936 9020025 8
6 9020026 10540316 9
6 10540317 11790815 10
6 11790816 13209387 11
6 13209388 14802923 12
6 14802924 17386404 13
6 17386405 19207486 14
6 19207487 21684064 15
6 21684065 22748306 16
6 22748307 23936618 17
6 23936619 24852274 18
6 24852275 25684586 19
6 25684587 26791232 20
6 26791233 28017818 21
6 28017819 28917607 22
6 28917608 29737970 23
6 29737971 30798167 24
6 30798168 31571217 25
6 31571218 32682663 26
6 32682664 33236496 27
6 33236497 35455755 28
6 35455756 37572595 29
6 37572596 39295676 30
6 39295677 40345114 31
6 40345115 42038720 32
6 42038721 43756168 33
6 43756169 45406562 34
6 45406563 47311897 35
6 47311898 48391124 36
6 48391125 50386144 37
6 50386145 52210475 38
6 52210476 53279101 39
6 53279102 55468269 40
6 55468270 56105312 41
6 56105313 57599464 42
6 57599465 61880511 43
6 61880512 63552887 44
6 63552888 65765741 45
6 65765742 67329214 46
6 67329215 68849482 47
6 68849483 69523447 48
6 69523448 71609509 49
6 71609510 73450096 50
6 73450097 75462002 51
6 75462003 77414880 52
6 77414881 78957727 53
6 78957728 80691169 54
6 80691170 81929221 55
6 81929222 83127148 56
6 83127149 85209988 57
6 85209989 87069499 58
6 87069500 88822139 59
6 88822140 89973051 60
6 89973052 91843195 61
6 91843196 93428643 62
6 93428644 94118141 63
6 94118142 94441174 64
6 94441175 97093510 65
6 97093511 97842283 66
6 97842284 100630145 67
6 100630146 102636771 68
6 102636772 103983394 69
6 103983395 106056732 70
6 106056733 107450305 71
6 107450306 108464379 72
6 108464380 110304246 73
6 110304247 112345013 74
6 112345014 114220832 75
6 114220833 116131395 76
6 116131396 117672971 77
6 117672972 118963114 78
6 118963115 119963277 79
6 119963278 120512127 80
6 120512128 121905675 81
6 121905676 123856180 82
6 123856181 125424382 83
6 125424383 127540460 84
6 127540461 129861030 85
6 129861031 130935453 86
6 130935454 132765668 87
6 132765669 134244242 88
6 134244243 136224176 89
6 136224177 137614217 90
6 137614218 138822628 91
6 138822629 139845435 92
6 139845436 142288478 93
6 142288479 145319809 94
6 145319810 146665423 95
6 146665424 148920351 96
6 148920352 150253403 97
6 150253404 151912702 98
6 151912703 153094495 99
6 153094496 154974119 100
6 154974120 156763325 101
6 156763326 158218718 102
6 158218719 160580496 103
6 160580497 162169563 104
6 162169564 162931202 105
6 162931203 164383520 106
6 164383521 165586863 107
6 165586864 167024732 108
6 167024733 168042834 109
6 168042835 169382049 110
6 169382050 170330172 111
6 170330173 171051269 112
6 171051270 999999999 113
7 1 972751 1
7 972752 1353066 2
7 1353067 2062397 3
7 2062398 2772226 4
7 2772227 4573427 5
7 4573428 5416231 6
7 5416232 5854525 7
7 5854526 6573856 8
7 6573857 7808751 9
7 7808752 9123422 10
7 9123423 9987498 11
7 9987499 11299197 12
7 11299198 12635460 13
7 12635461 13884201 14
7 13884202 15143656 15
7 15143657 16902068 16
7 16902069 19481546 17
7 19481547 20124907 18
7 20124908 22507628 19
7 22507629 23471441 20
7 23471442 25077258 21
7 25077259 25909554 22
7 25909555 28360308 23
7 28360309 31137288 24
7 31137289 33555767 25
7 33555768 36213537 26
7 36213538 37555183 27
7 37555184 38966702 28
7 38966703 39862669 29
7 39862670 42001810 30
7 42001811 43159073 31
7 43159074 44763827 32
7 44763828 45952921 33
7 45952922 46986719 34
7 46986720 49212277 35
7 49212278 51675321 36
7 51675322 53176311 37
7 53176312 54222975 38
7 54222976 55691583 39
7 55691584 57382637 40
7 57382638 63307358 41
7 63307359 63641124 42
7 63641125 65689808 43
7 65689809 68234073 44
7 68234074 69085363 45
7 69085364 71874884 46
7 71874885 73334601 47
7 73334602 76458563 48
7 76458564 78093858 49
7 78093859 79888068 50
7 79888069 82022685 51
7 82022686 83801202 52
7 83801203 85572181 53
7 85572182 87825003 54
7 87825004 90661783 55
7 90661784 92493751 56
7 92493752 93966600 57
7 93966601 96073507 58
7 96073508 97099569 59
7 97099570 98715473 60
7 98715474 100196650 61
7 100196651 101199252 62
7 101199253 103197509 63
7 103197510 104159524 64
7 104159525 105682904 65
7 105682905 107780177 66
7 107780178 109647593 67
7 109647594 112618683 68
7 112618684 113712386 69
7 113712387 116780177 70
7 116780178 118351580 71
7 118351581 121045272 72
7 121045273 121933629 73
7 121933630 124156804 74
7 124156805 124167551 75
7 124167552 126519169 76
7 126519170 126869220 77
7 126869221 128778385 78
7 128778386 130422413 79
7 130422414 132805847 80
7 132805848 134307595 81
7 134307596 135591082 82
7 135591083 136876561 83
7 136876562 138744678 84
7 138744679 139933176 85
7 139933177 140235209 86
7 140235210 141226556 87
7 141226557 142656309 88
7 142656310 144968288 89
7 144968289 146427959 90
7 146427960 147815317 91
7 147815318 149840657 92
7 149840658 150711504 93
7 150711505 152249805 94
7 152249806 153674018 95
7 153674019 154964729 96
7 154964730 156065249 97
7 156065250 157634596 98
7 157634597 159128574 99
7 159128575 999999999 100
8 1 1044216 1
8 1044217 1163244 2
8 1163245 2042941 3
8 2042942 2573278 4
8 2573279 3392925 5
8 3392926 3783016 6
8 3783017 4480475 7
8 4480476 5146926 8
8 5146927 6142796 9
8 6142797 7153078 10
8 7153079 9154693 11
8 9154694 9640786 12
8 9640787 10463196 13
8 10463197 11278997 14
8 11278998 13491774 15
8 13491775 13944991 16
8 13944992 15991659 17
8 15991660 17387875 18
8 17387876 17836398 19
8 17836399 19492839 20
8 19492840 20060855 21
8 20060856 21661736 22
8 21661737 22897056 23
8 22897057 24674717 24
8 24674718 25483453 25
8 25483454 26682524 26
8 26682525 28162391 27
8 28162392 29327895 28
8 29327896 31133728 29
8 31133729 31548359 30
8 31548360 32977217 31
8 32977218 35317231 32
8 35317232 37379388 33
8 37379389 38938805 34
8 38938806 40703336 35
8 40703337 41721453 36
8 41721454 42773822 37
8 42773823 46841314 38
8 46841315 50082469 39
8 50082470 53302929 40
8 53302930 54418043 41
8 54418044 55945580 42
8 55945581 56956382 43
8 56956383 59068650 44
8 59068651 59728099 45
8 59728100 62329098 46
8 62329099 63349305 47
8 63349306 65232871 48
8 65232872 66489089 49
8 66489090 69863056 50
8 69863057 70867978 51
8 70867979 72289453 52
8 72289454 73817198 53
8 73817199 75445063 54
8 75445064 76456541 55
8 76456542 79132860 56
8 79132861 81956394 57
8 81956395 82693738 58
8 82693739 84225588 59
8 84225589 85955618 60
8 85955619 87411708 61
8 87411709 89085480 62
8 89085481 90638161 63
8 90638162 93554385 64
8 93554386 95005526 65
8 95005527 96534805 66
8 96534806 99401580 67
8 99401581 101620957 68
8 101620958 104123305 69
8 104123306 104988751 70
8 104988752 107410753 71
8 107410754 108648176 72
8 108648177 109248172 73
8 109248173 110484313 74
8 110484314 111850846 75
8 111850847 113064319 76
8 113064320 116096494 77
8 116096495 119685456 78
8 119685457 121201699 79
8 121201700 124861458 80
8 124861459 125683718 81
8 125683719 126410916 82
8 126410917 128659110 83
8 128659111 130381138 84
8 130381139 131639624 85
8 131639625 133351143 86
