chr start stop block
1 1 1976557 1
1 1976558 3492738 2
1 3492739 4543011 3
1 4543012 5914789 4
1 5914790 7365001 5
1 7365002 9002908 6
1 9002909 10755519 7
1 10755520 11708677 8
1 11708678 13810999 9
1 13811000 14893156 10
1 14893157 17875819 11
1 17875820 20304719 12
1 20304720 22145805 13
1 22145806 23916164 14
1 23916165 25516892 15
1 25516893 27400827 16
1 27400828 30161896 17
1 30161897 32043092 18
1 32043093 34941266 19
1 34941267 36857532 20
1 36857533 39550620 21
1 39550621 41288114 22
1 41288115 43366278 23
1 43366279 45082439 24
1 45082440 47651004 25
1 47651005 50644819 26
1 50644820 54973024 27
1 54973025 56412728 28
1 56412729 57021654 29
1 57021655 58196477 30
1 58196478 59188244 31
1 59188245 60232861 32
1 60232862 62109987 33
1 62109988 64095110 34
1 64095111 65041375 35
1 65041376 66774010 36
1 66774011 68477861 37
1 68477862 69687901 38
1 69687902 72285465 39
1 72285466 74327077 40
1 74327078 76728119 41
1 76728120 79112108 42
1 79112109 80341731 43
1 80341732 81990568 44
1 81990569 83991643 45
1 83991644 86012416 46
1 86012417 88408032 47
1 88408033 90066204 48
1 90066205 92938313 49
1 92938314 93568955 50
1 93568956 96151206 51
1 96151207 97949734 52
1 97949735 99555995 53
1 99555996 101849108 54
1 101849109 102644326 55
1 102644327 105413132 56
1 105413133 106767763 57
1 106767764 110304091 58
1 110304092 112347255 59
1 112347256 114872037 60
1 114872038 118104014 61
1 118104015 142545955 62
1 142545956 147914608 63
1 147914609 152537154 64
1 152537155 153397054 65
1 153397055 156616038 66
1 156616039 157982578 67
1 157982579 159953314 68
1 159953315 162888863 69
1 162888864 164954019 70
1 164954020 168175844 71
1 168175845 170169620 72
1 170169621 172932965 73
1 172932966 175387678 74
1 175387679 177937440 75
1 177937441 181116839 76
1 181116840 183553325 77
1 183553326 185513152 78
1 185513153 187902800 79
1 187902801 189761325 80
1 189761326 191285921 81
1 191285922 192349897 82
1 192349898 194108440 83
1 194108441 195996763 84
1 195996764 198541161 85
1 198541162 201071501 86
1 201071502 203648599 87
1 203648600 205271006 88
1 205271007 208809069 89
1 208809070 209837235 90
