chr start stop block
1 1 1577083 1
1 1577084 2364989 2
1 2364990 3150344 3
1 3150345 4284186 4
1 4284187 4854313 5
1 4854314 5914886 6
1 5914887 7170718 7
1 7170719 8202407 8
1 8202408 9366008 9
1 9366009 10643432 10
1 10643433 11240012 11
1 11240013 12106843 12
1 12106844 13950569 13
1 13950570 15151737 14
1 15151738 16084491 15
1 16084492 17175685 16
1 17175686 18568221 17
1 18568222 19241067 18
1 19241068 20436390 19
1 20436391 21977331 20
1 21977332 22736728 21
1 22736729 23446271 22
1 23446272 24527560 23
1 24527561 25309022 24
1 25309023 26481588 25
1 26481589 27402918 26
1 27402919 30160740 27
1 30160741 30279163 28
1 30279164 31165839 29
1 31165840 32153999 30
1 32154000 34372891 31
1 34372892 35316816 32
1 35316817 35746300 33
1 35746301 37326703 34
1 37326704 38874419 35
1 38874420 40093902 36
1 40093903 40936567 37
1 40936568 41975148 38
1 41975149 43460976 39
1 43460977 45083049 40
1 45083050 46899422 41
1 46899423 48004775 42
1 48004776 49069071 43
1 49069072 50593005 44
1 50593006 51541861 45
1 51541862 53115474 46
1 53115475 53836498 47
1 53836499 54666160 48
1 54666161 55225845 49
1 55225846 55752373 50
1 55752374 57180719 51
1 57180720 58385186 52
1 58385187 59488080 53
1 59488081 60459938 54
1 60459939 61358325 55
1 61358326 62804138 56
1 62804139 63630126 57
1 63630127 64259229 58
1 64259230 65605890 59
1 65605891 66773820 60
1 66773821 67595776 61
1 67595777 68665337 62
1 68665338 69791421 63
1 69791422 70946628 64
1 70946629 72509741 65
1 72509742 73347019 66
1 73347020 75014925 67
1 75014926 75994015 68
1 75994016 76729015 69
1 76729016 77695540 70
1 77695541 79261566 71
1 79261567 80100705 72
1 80100706 81063142 73
1 81063143 81849124 74
1 81849125 82564251 75
1 82564252 83832322 76
1 83832323 84844494 77
1 84844495 85940449 78
1 85940450 86949136 79
1 86949137 88456045 80
1 88456046 90066302 81
1 90066303 91871086 82
1 91871087 92938440 83
1 92938441 94454372 84
1 94454373 95314036 85
1 95314037 96596863 86
1 96596864 97462094 87
1 97462095 98802182 88
1 98802183 99556487 89
1 99556488 100765183 90
1 100765184 101682954 91
1 101682955 102423410 92
1 102423411 103573811 93
1 103573812 104371831 94
1 104371832 104984549 95
1 104984550 105413131 96
1 105413132 106088623 97
1 106088624 107875773 98
1 107875774 109268360 99
1 109268361 110334939 100
1 110334940 111236687 101
1 111236688 112347491 102
1 112347492 113752747 103
1 113752748 114652485 104
1 114652486 115880592 105
1 115880593 117351266 106
1 117351267 118838625 107
1 118838626 119836142 108
1 119836143 145783663 109
1 145783664 148953843 110
1 148953844 151139758 111
1 151139759 152537853 112
1 152537854 153329918 113
1 153329919 154769706 114
1 154769707 156336043 115
1 156336044 157155561 116
1 157155562 158727374 117
1 158727375 158904743 118
1 158904744 160921946 119
1 160921947 161675109 120
1 161675110 163344594 121
1 163344595 163948371 122
1 163948372 165192877 123
1 165192878 166364623 124
1 166364624 167100360 125
1 167100361 168567348 126
1 168567349 168696236 127
1 168696237 169647436 128
1 169647437 171043931 129
1 171043932 171648756 130
1 171648757 173302305 131
1 173302306 175089873 132
1 175089874 177016828 133
1 177016829 177937078 134
1 177937079 178943431 135
1 178943432 180121830 136
1 180121831 181144896 137
1 181144897 182424275 138
1 182424276 183553043 139
1 183553044 183932225 140
1 183932226 184953982 141
1 184953983 184970521 142
1 184970522 187053790 143
1 187053791 188760388 144
1 188760389 189904481 145
1 189904482 191869187 146
1 191869188 192791205 147
1 192791206 193507519 148
1 193507520 194281755 149
1 194281756 195155978 150
1 195155979 196178347 151
1 196178348 196736013 152
1 196736014 198096571 153
1 198096572 199239075 154
1 199239076 200020802 155
1 200020803 201629738 156
1 201629739 202822260 157
1 202822261 203980751 158
1 203980752 204930667 159
1 204930668 205487020 160
1 205487021 207042276 161
1 207042277 207878640 162
1 207878641 208995847 163
1 208995848 209725570 164
1 209725571 210626866 165
1 210626867 211374454 166
1 211374455 212346007 167
1 212346008 214411451 168
1 214411452 215134040 169
1 215134041 216729433 170
1 216729434 218295397 171
1 218295398 219254576 172
